name,region,temp_min,temp_max,humidity_min,humidity_max,ph_min,ph_max,soil_moisture_min,soil_moisture_max,light_min,light_max,rain_min,rain_max,grow_days,water_need,priority,category
Date Palm,Saudi/India,25,50,10,40,7.0,8.5,10,30,85,100,0,150,1095,Low,10,Tree
Olive,Saudi/India,10,40,25,60,5.5,8.5,20,45,80,100,250,700,1460,Low,10,Tree
Pomegranate,Saudi/India,18,38,20,50,5.5,7.2,20,45,75,100,200,700,730,Low,10,Tree
Fig,Saudi/India,15,38,20,55,6.0,8.0,20,45,75,100,300,800,730,Low,9,Tree
Moringa,Saudi/India,20,42,20,65,6.0,8.0,15,45,75,100,250,1500,180,Low,10,Tree
Acacia,Saudi,20,48,5,35,6.0,8.5,5,25,80,100,100,500,730,Low,9,Tree
Sidr (Lote Tree),Saudi,20,45,10,40,6.5,8.5,10,30,80,100,100,500,1095,Low,9,Tree
Tamarind,Saudi/India,20,40,30,70,5.5,7.5,25,55,75,100,500,1500,1825,Low,8,Tree
Ghaf Tree,Saudi,22,50,5,30,7.0,9.0,5,20,85,100,50,300,730,Low,9,Tree
Neem,Saudi/India,20,45,20,60,6.2,8.5,15,40,75,100,400,1200,730,Low,8,Tree
Mango,India,24,30,50,80,5.5,7.5,40,70,70,100,500,1000,1825,Medium,10,Tree
Lemon,Saudi/India,23,30,40,70,5.5,7.0,35,60,70,100,900,1200,730,Medium,9,Tree
Orange,Saudi/India,23,30,40,70,5.5,6.5,35,60,70,100,900,1200,1095,Medium,9,Tree
Banana,India,20,35,75,90,5.5,7.0,65,85,65,100,1200,2500,300,High,9,Tree
Coconut,India,20,35,70,90,5.5,7.5,60,85,70,100,1500,3000,2190,High,8,Tree
Papaya,India,22,35,55,80,6.0,7.0,50,75,70,100,1000,1500,270,Medium,9,Tree
Guava,India,20,35,40,75,5.0,7.0,35,65,65,100,700,1000,365,Low,9,Tree
Jackfruit,India,22,35,60,85,6.0,7.5,50,80,65,100,1500,2500,1095,High,8,Tree
Jamun (Java Plum),India,18,38,40,75,6.0,8.0,35,65,65,100,800,1800,1095,Low,8,Tree
Amla (Indian Gooseberry),India,18,38,40,75,6.0,8.0,30,60,70,100,600,1500,1095,Low,9,Tree
Mulberry,India,15,38,40,75,5.5,7.0,35,65,65,100,600,1500,365,Medium,7,Tree
Sapodilla (Chiku),India,20,38,50,80,6.0,8.0,45,70,70,100,1250,2500,1460,Medium,8,Tree
Custard Apple,India,22,35,45,75,5.5,7.5,40,65,65,100,700,1500,730,Low,8,Tree
Kokum,India,22,35,65,90,5.5,7.0,55,80,60,90,2000,4000,1825,High,7,Tree
Apple,World,5,25,45,75,5.5,6.5,40,65,65,100,600,1200,1095,Medium,7,Tree
Pear,World,5,25,45,70,6.0,7.0,40,65,65,100,600,1200,1095,Medium,6,Tree
Cherry,World,5,22,45,70,6.0,7.0,35,60,65,100,600,1200,1095,Medium,6,Tree
Peach,World,5,28,40,70,6.0,7.0,35,60,65,100,500,1000,730,Medium,6,Tree
Plum,World,5,28,45,70,5.5,7.0,35,60,65,100,500,1000,730,Medium,6,Tree
Apricot,World,5,30,30,60,6.0,8.0,25,55,70,100,300,700,730,Low,7,Tree
Avocado,World,15,30,55,80,6.0,7.0,45,70,65,100,1000,1800,1825,Medium,7,Tree
Grape (Vine),Saudi/India,15,35,25,60,5.5,7.0,25,50,75,100,300,700,730,Low,8,Tree
Persimmon,World,10,30,40,70,6.0,7.0,35,65,65,100,500,1200,1095,Medium,6,Tree
Lychee,India,20,35,65,90,5.5,7.0,55,80,65,100,1200,2000,1095,High,8,Tree
Starfruit (Carambola),India,20,35,60,85,5.5,6.5,50,75,65,100,1500,2500,365,Medium,7,Tree
Longan,World,20,33,65,85,5.5,6.5,50,75,65,100,1200,2000,1095,Medium,6,Tree
Rambutan,World,22,35,70,90,5.5,6.5,60,85,65,100,2000,3500,1095,High,5,Tree
Dragon Fruit,World,20,38,40,70,6.0,7.0,30,55,70,100,400,1000,365,Low,7,Tree
Passion Fruit,World,18,32,55,80,6.0,7.0,45,70,65,100,900,1800,365,Medium,6,Tree
Kiwi,World,10,28,50,80,6.0,6.5,50,70,60,100,800,1500,1095,Medium,6,Tree
White Mulberry,India,12,38,40,75,5.5,7.5,35,65,60,100,600,1500,365,Medium,7,Tree
Pineapple,India,20,35,60,85,4.5,6.5,50,75,65,100,1000,2000,540,Medium,8,Tree
Breadfruit,World,22,35,65,90,6.0,7.5,55,80,65,100,1500,3000,1095,High,5,Tree
Durian,World,24,35,75,95,6.0,7.0,65,85,65,100,1500,2500,1825,High,5,Tree
Mangosteen,World,22,35,70,90,5.5,6.5,60,85,60,90,1500,3000,2190,High,5,Tree
Soursop (Graviola),World,22,32,65,85,5.5,6.5,55,80,65,100,1000,2000,730,Medium,6,Tree
Sugar Apple,India,22,35,45,75,5.5,7.5,35,65,70,100,700,1500,730,Low,7,Tree
Pomelo,World,20,35,50,80,5.5,7.0,40,70,65,100,900,1800,1095,Medium,6,Tree
Mandarin (Kinnow),India,20,32,40,70,5.5,7.0,35,60,70,100,900,1200,1095,Medium,8,Tree
Grapefruit,World,18,32,40,70,5.5,6.5,35,60,70,100,900,1200,1095,Medium,6,Tree
Lime,Saudi/India,20,35,40,75,5.5,7.0,35,60,70,100,900,1200,365,Medium,9,Tree
